code,date,lastClosingPrice,openingPrice,top,bottom,closingPrice,tradingVolume(shares),tradingVolume(yuan),change(yuan),change(%),avg price,turnover rate,ACirculatedStockValue(yuan),aggregateMarketValue(yuan),AcirculationOfCapital(shares),BCirculationOfCapital,TotalCapital,Peratio,Pbratio,Psratio,PCFratio
300001.SZ,2009/11/2,6.399,5.7591,6.0893,5.7591,5.7591,6570715,261787899.8,-0.6399,-10,39.8416,24.4446,1064448000,5290560000,26880000,0,133600000,86.4581,50.707,19.5239,1275.2428
300001.SZ,2009/11/3,5.7591,5.5555,5.7242,5.2574,5.3665,6599317,246396901.5,-0.3927,-6.8182,37.3367,24.551,991872000,4929840000,26880000,0,133600000,80.5633,47.2497,18.1927,1188.2944
300001.SZ,2009/11/4,5.3665,5.5264,5.6573,5.4144,5.5293,4076444,154464702.5,0.1629,3.0352,37.892,15.1653,1021977600,5079472000,26880000,0,133600000,83.0085,48.6839,18.7449,1224.3618
300001.SZ,2009/11/5,5.5293,5.5308,5.9598,5.4552,5.7591,5352430,209928354,0.2298,4.1557,39.2211,19.9123,1064448000,5290560000,26880000,0,133600000,86.4581,50.707,19.5239,1275.2428
300001.SZ,2009/11/6,5.7591,5.7635,5.8755,5.5628,5.6588,3378318,132176908.1,-0.1003,-1.7424,39.1251,12.5681,1045900800,5198376000,26880000,0,133600000,84.9517,49.8235,19.1837,1253.0226
300001.SZ,2009/11/9,5.6588,5.621,5.8028,5.5526,5.7417,3287854,128591817.9,0.0829,1.4649,39.1112,12.2316,1061222400,5274528000,26880000,0,133600000,86.1961,50.5534,19.4648,1271.3784
300001.SZ,2009/11/10,5.7417,5.7533,5.7882,5.4973,5.5221,3366383,129740735,-0.2196,-3.8247,38.5401,12.5237,1020633600,5072792000,26880000,0,133600000,82.8994,48.6198,18.7203,1222.7517
300001.SZ,2009/11/11,5.5221,5.4755,5.5846,5.381,5.5584,2061047,77521030,0.0364,0.6584,37.6125,7.6676,1027353600,5106192000,26880000,0,133600000,83.4452,48.94,18.8435,1230.8025
300001.SZ,2009/11/12,5.5584,5.5555,5.6559,5.4537,5.6079,2164705,83184583.1,0.0494,0.8896,38.4277,8.0532,1036492800,5151616000,26880000,0,133600000,84.1875,49.3753,19.0112,1241.7516
300001.SZ,2009/11/13,5.6079,5.6093,6.0893,5.6093,5.9278,6036977,244729407.7,0.32,5.7054,40.5384,22.459,1095628800,5445536000,26880000,0,133600000,88.9907,52.1924,20.0958,1312.5984
300001.SZ,2009/11/16,5.9278,5.9336,6.0064,5.762,5.9627,3283851,132793962.3,0.0349,0.5888,40.4385,12.2167,1102080000,5477600000,26880000,0,133600000,89.5147,52.4997,20.2142,1320.3271
300001.SZ,2009/11/17,5.9627,5.9482,6.082,5.8973,5.9482,2409525,99085066.8,-0.0145,-0.2439,41.1222,8.964,1099392000,5464240000,26880000,0,133600000,89.2964,52.3717,20.1649,1317.1068
300001.SZ,2009/11/18,5.9482,5.9627,6.2769,5.9627,6.2303,4062629,171616718,0.2821,4.7433,42.2428,15.1139,1151539200,5723424000,26880000,0,133600000,93.532,54.8558,21.1213,1379.5808
300001.SZ,2009/11/19,6.2303,6.239,6.8499,6.2129,6.5314,5973878,269239044.1,0.301,4.8319,45.0694,22.2242,1207180800,5999976000,26880000,0,133600000,98.0514,57.5064,22.1419,1446.2412
300001.SZ,2009/11/20,6.5314,6.447,6.7699,6.4136,6.4543,3714625,167112590.1,-0.0771,-1.1801,44.9877,13.8193,1192934400,5929168000,26880000,0,133600000,96.8942,56.8277,21.8806,1429.1736
300001.SZ,2009/11/23,6.4543,6.447,6.687,6.4165,6.6041,3162982,142202194.1,0.1498,2.3209,44.9583,11.767,1220620800,6066776000,26880000,0,133600000,99.143,58.1466,22.3884,1462.3428
300001.SZ,2009/11/24,6.6041,6.6608,6.7233,5.9642,6.0253,4419349,193758210.9,-0.5788,-8.7646,43.8432,16.441,1113638400,5535048000,26880000,0,133600000,90.4535,53.0503,20.4262,1334.1744
300001.SZ,2009/11/25,6.0253,5.9816,6.4267,5.9773,6.3845,3516422,150070276.2,0.3592,5.9619,42.677,13.0819,1180032000,5865040000,26880000,0,133600000,95.8463,56.2131,21.6439,1413.7161
300001.SZ,2009/11/26,6.3845,6.3554,6.9066,6.2536,6.876,6325426,285744672.1,0.4916,7.6993,45.174,23.5321,1270886400,6316608000,26880000,0,133600000,103.2258,60.5411,23.3104,1522.5626
300001.SZ,2009/11/27,6.876,6.7044,7.068,6.623,6.879,6032089,285622175.3,0.0029,0.0423,47.3505,22.4408,1271424000,6319280000,26880000,0,133600000,103.2694,60.5667,23.3202,1523.2067
300001.SZ,2009/11/30,6.879,6.8819,6.9662,6.5445,6.8237,3405152,157753836.6,-0.0553,-0.8034,46.328,12.668,1261209600,6268512000,26880000,0,133600000,102.4398,60.0801,23.1329,1510.9695
300001.SZ,2009/12/1,6.8237,6.7597,6.8906,6.6463,6.8324,2749390,127928850,0.0087,0.1279,46.5299,10.2284,1262822400,6276528000,26880000,0,133600000,102.5708,60.157,23.1625,1512.9016
300001.SZ,2009/12/2,6.8324,6.8499,7.2498,6.7888,7.0055,4332873,209641201.1,0.1731,2.533,48.3839,16.1193,1294809600,6435512000,26880000,0,133600000,105.1689,61.6807,23.7492,1551.2234
300001.SZ,2009/12/3,7.0055,6.9822,7.3065,6.863,7.2949,5092755,251790138.5,0.2894,4.1312,49.4409,18.9463,1348300800,6701376000,26880000,0,133600000,109.5136,64.2289,24.7303,1615.3075
300001.SZ,2009/12/4,7.2949,6.9808,7.148,6.5648,6.6259,5741239,267721333.6,-0.669,-9.1707,46.6313,21.3588,1224652800,6086816000,26880000,0,133600000,99.4705,58.3387,22.4624,1467.1732
